"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","CMD_harvest","branch_number","CMD_1mon","CMD_3mon","CMD_6mon","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","root_number_commercial","planted_number_plot","plant_type","height","harvest_number","root_type1_5","root_rot_number","germinated_number_plot","starch_content","root_peduncle1_3","root_shape1_6","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","starch_yield_ha"
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_KM505_1",1,1,1,1,"check"," (Operator: lizbethpino, Time: )","KM505","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",2,2,1,2,NA,175,40.625,26,4,NA,10,2,250,8,NA,0,10,24.7279974,NA,NA,NA,8,100,40.625,10.04574894375
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_KU50_34",1,34,2,5,"check"," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )","KU50_is_KM94","check_released",11.67,106.1,20,NA,"Vietnam",NA,"tani",4,1,1,3,NA,225,10.15625,6.5,5,NA,10,1,250,6,NA,4,7,NA,NA,NA,NA,8,70,10.15625,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh","GBAZEKOUTE,OBAMA,TME 419","202301DMEPR_tani_rep1_TMEB419_48",1,48,3,10,"check"," (Operator: lizbethpino, Time: )","TMEB419","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,1,NA,255,NA,NA,5,NA,10,1,255,7,NA,8,9,NA,NA,NA,NA,8,90,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0005_73",1,73,4,4,"test"," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )","VF21-0005","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,2,1,NA,145,NA,NA,NA,NA,10,2,160,8,NA,8,10,NA,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0015_26",1,26,2,13,"test"," (Operator: lizbethpino, Time: )","VF21-0015","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,2,1,1,NA,120,NA,NA,5,NA,10,2,160,8,NA,6,9,NA,NA,NA,NA,8,90,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0017_24",1,24,2,15,"test"," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )","VF21-0017","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,1,NA,160,9.375,6,4,NA,10,1,175,6,NA,6,10,19.04056088,NA,NA,NA,8,100,9.375,1.7850525825
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0055_35",1,35,2,4,"test"," (Operator: lizbethpino, Time: )","VF21-0055","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,1,NA,190,11.71875,7.5,NA,NA,10,1,230,8,NA,5,10,24.42490909,NA,NA,NA,8,100,11.71875,2.86229403398438
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0080_30",1,30,2,9,"test"," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )","VF21-0080","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,2,1,1,NA,170,0.3125,0.2,5,NA,10,2,210,7,NA,8,10,NA,NA,NA,NA,8,100,0.3125,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0084_68",1,68,4,9,"test"," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )","VF21-0084","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,2,1,1,NA,130,NA,NA,4,NA,10,2,225,8,NA,8,8,NA,NA,NA,NA,8,80,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0109_8",1,8,1,8,"test"," (Operator: lizbethpino, Time: )","VF21-0109","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,1,NA,275,12.5,8,4,NA,10,1,275,8,NA,7,10,22.69347935,NA,NA,NA,8,100,12.5,2.83668491875
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0142_41",1,41,3,3,"test"," (Operator: lizbethpino, Time: )","VF21-0142","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,2,1,1,NA,275,3.125,2,5,NA,10,1,300,8,NA,8,10,NA,NA,NA,NA,8,100,3.125,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0146_67",1,67,4,10,"test"," (Operator: lizbethpino, Time: )","VF21-0146","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,1,NA,275,3.125,2,3,NA,10,1,300,7,NA,5,10,11.95995215,NA,NA,NA,8,100,3.125,0.3737485046875
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0148_65",1,65,4,12,"test"," (Operator: lizbethpino, Time: ), potential (Operator: lizbethpino, Time: )","VF21-0148","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,2,1,NA,200,NA,NA,4,NA,10,1,200,7,NA,7,10,22.01289017,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0149_42",1,42,3,4,"test"," (Operator: lizbethpino, Time: )","VF21-0149","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,1,NA,225,NA,NA,4,NA,10,1,275,7,NA,8,10,NA,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0172_47",1,47,3,9,"test"," (Operator: lizbethpino, Time: )","VF21-0172","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,2,1,1,NA,180,NA,NA,5,NA,10,2,225,7,NA,8,10,NA,NA,NA,NA,8,100,NA,NA
2023,"202301DMEPR_tani","202301DMEPR_tani",2,4,"2023-February-09","2023-December-08","Tay Ninh",NA,"202301DMEPR_tani_rep1_VF21-0184_7",1,7,1,7,"test"," (Operator: lizbethpino, Time: )","VF21-0184","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,1,NA,250,14.0625,9,4,NA,10,1,250,8,NA,7,10,17.5952356,NA,NA,NA,8,100,14.0625,2.47433000625
